Antimicrobial_Class,Year,Canada_DDD,Canada_Prescriptions
1st gen cephalosporins,2021,1529.37,210.75
1st gen cephalosporins,2022,1499.57,209.04000000000002
1st gen cephalosporins,2023,1538.61,219.01
1st gen cephalosporins,2024,1556.29,224.33
2/3rd gen cephalosporins,2021,493.13,58.05
2/3rd gen cephalosporins,2022,584.43,71.05
2/3rd gen cephalosporins,2023,691.3199999999999,82.87
2/3rd gen cephalosporins,2024,683.02,81.6
4/5th gen cephalosporins,2021,0.21,0.04
4/5th gen cephalosporins,2022,0.26,0.04
4/5th gen cephalosporins,2023,0.49,0.07
4/5th gen cephalosporins,2024,0.51,0.08
